version,label,vaccine,start_date,end_date,phase,numPhase,timing,durationMonths,durationMillis,dateUpdated
1,mRNA-1273 (Best),mRNA-1273,1/11/2020 0:00:00,2/6/2020 0:00:00,"""Discovery/Lead Development""",1,Best,,2246400000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,2/7/2020 0:00:00,3/15/2020 0:00:00,"""Clinical Batch""",2,Best,,3196800000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,3/16/2020 0:00:00,4/30/2020 0:00:00,"""1""",3,Best,2,3888000000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,5/1/2020 0:00:00,7/31/2020 0:00:00,"""2""",4,Best,5,7862400000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,8/1/2020 0:00:00,11/30/2020 0:00:00,"""3""",5,Best,9,10454400000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,12/1/2020 0:00:00,12/15/2020 0:00:00,"""IND""",6,Best,9,1209600000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,12/16/2020 0:00:00,12/31/2020 0:00:00,"""Industrial Scale Batch""",7,Best,10,1296000000,3/20/2020 0:00:00
1,mRNA-1273 (Best),mRNA-1273,1/1/2021 0:00:00,,"""On Market""",8,Best,,,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,1/11/2020 0:00:00,2/6/2020 0:00:00,"""Discovery/Lead Development""",1,Worst,,2246400000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,2/7/2020 0:00:00,3/15/2020 0:00:00,"""Clinical Batch""",2,Worst,,3196800000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,3/16/2020 0:00:00,8/31/2020 0:00:00,"""1""",3,Worst,6,14515200000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,9/1/2020 0:00:00,2/28/2021 0:00:00,"""2""",4,Worst,12,15552000000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,3/1/2021 0:00:00,8/31/2021 0:00:00,"""3""",5,Worst,18,15811200000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,9/1/2021 0:00:00,11/30/2021 0:00:00,"""IND""",6,Worst,21,7776000000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,12/1/2021 0:00:00,2/28/2022 0:00:00,"""Industrial Scale Batch""",7,Worst,24,7689600000,3/20/2020 0:00:00
1,mRNA-1273 (Worst),mRNA-1273,3/1/2022 0:00:00,,"""On Market""",8,Worst,,,3/20/2020 0:00:00
1,mRNA-1273 (Actual),mRNA-1273,1/11/2020 0:00:00,2/6/2020 0:00:00,"""Discovery/Lead Development""",1,Actual,,2246400000,3/20/2020 0:00:00
1,mRNA-1273 (Actual),mRNA-1273,2/7/2020 0:00:00,3/15/2020 0:00:00,"""Clinical Batch""",2,Actual,,3196800000,3/20/2020 0:00:00
1,mRNA-1273 (Actual),mRNA-1273,3/16/2020 0:00:00,,"""1""",3,Actual,,,3/20/2020 0:00:00
